# Filename : TGV_Re1600.dat (updated on 14/12/2018)
# 
# Description : Time evolution of basic statistics for the Taylor-Green Vortex problem at Re=1600
# 
# Data from DNS using the code "Incompact3d" with a Cartesian regular mesh of 512^3 nodes in a cubic computational domain of (2pi)^3 
# while using some symmetries (only the flow inside the impermeable box pi^3 is computed)
# 
#
# Initial condition : u(x,y,z,0)= sin(x)cos(y)cos(z)
#                     v(x,y,z,0)=−cos(x)sin(y)cos(z)
#                     w(x,y,z,0)=0
#
# Reynolds number : Re=1/nu where nu is the kinematic viscosity
#
# Total number of time steps : 1001 from t=0 to t=20
#
# ===========================================================================================
# When publishing results using this data, the following paper should be cited as the source:  
# Thibault Dairay, Eric Lamballais, Sylvain Laizet and John Christos Vassilicos
# Numerical dissipation vs. subgrid-scale modelling for large eddy simulation
# Journal of Computational Physics 337 (2017) 252–274
# https://doi.org/10.1016/j.jcp.2017.02.035
# ===========================================================================================
#
# Column 1  : time t
# Column 2  : kinetic energy E_k [=(u^2+v^2+w^2)/2]
# Column 3  : dissipation epsilon_t [=-dE_k/dt]
# Column 4  : dissipation epsilon [= nu ((du/dx)^2+(du/dy)^2+(du/dz)^2+(dv/dx)^2+(dv/dy)^2+(dv/dz)^2+(dw/dx)^2+(dw/dy)^2+(dw/dz)^2)]
# Column 5  : enstrophy Dzeta [=2 nu epsilon]
# Column 6  : mean square u^2
# Column 7  : mean square v^2
# Column 8  : mean square w^2
# Column 9  : mean square (du/dx)^2
# Column 10 : mean square (du/dy)^2
# Column 11 : mean square (du/dz)^2
# Column 12 : mean square (dv/dx)^2
# Column 13 : mean square (dv/dy)^2
# Column 14 : mean square (dv/dz)^2
# Column 15 : mean square (dw/dx)^2
# Column 16 : mean square (dw/dy)^2
# Column 17 : mean square (dw/dz)^2
#
# 1                   2                   3                   4                   5                   6                   7                   8                   9                   10                  11                  12                  13                  14                  15                  16                  17
  0.200000000000E+00  0.124906154895E+00  0.470353675278E-03  0.470353675278E-03  0.376282940223E+00  0.124750635599E+00  0.124750635599E+00  0.311038590915E-03  0.125218354626E+00  0.124598547344E+00  0.125218644310E+00  0.124598547344E+00  0.125218366628E+00  0.125218644310E+00  0.625420834740E-03  0.625420834740E-03  0.124393421449E-02
  0.220000000000E+00  0.124896744122E+00  0.470730135377E-03  0.470730135377E-03  0.376584108301E+00  0.124708714579E+00  0.124708714579E+00  0.376059085531E-03  0.125274502551E+00  0.124525699852E+00  0.125274928475E+00  0.124525699852E+00  0.125274515774E+00  0.125274928475E+00  0.757012863820E-03  0.757012863820E-03  0.150391589806E-02
  0.240000000000E+00  0.124887325424E+00  0.471146252645E-03  0.471146252645E-03  0.376917002116E+00  0.124663744728E+00  0.124663744728E+00  0.447161391829E-03  0.125336891364E+00  0.124447253432E+00  0.125337498643E+00  0.124447253432E+00  0.125336905813E+00  0.125337498643E+00  0.901254136615E-03  0.901254136615E-03  0.178819463072E-02
  0.260000000000E+00  0.124877898006E+00  0.471602163211E-03  0.471602163211E-03  0.377281730569E+00  0.124615739293E+00  0.124615739293E+00  0.524317425201E-03  0.125405523023E+00  0.124363326001E+00  0.125406366646E+00  0.124363326001E+00  0.125405538704E+00  0.125406366646E+00  0.105818058773E-02  0.105818058773E-02  0.209665293976E-02
  0.280000000000E+00  0.124868461070E+00  0.472098016526E-03  0.472098016526E-03  0.377678413221E+00  0.124564712552E+00  0.124564712552E+00  0.607497036001E-03  0.125480399793E+00  0.124274044550E+00  0.125481545964E+00  0.124274044550E+00  0.125480416714E+00  0.125481545964E+00  0.122783202634E-02  0.122783202634E-02  0.242916485545E-02
  0.300000000000E+00  0.124859013817E+00  0.472633975244E-03  0.472633975244E-03  0.378107180195E+00  0.124510679802E+00  0.124510679802E+00  0.696668030692E-03  0.125561524193E+00  0.124179544925E+00  0.125563051789E+00  0.124179544925E+00  0.125561542361E+00  0.125563051789E+00  0.141025218167E-02  0.141025218167E-02  0.278559604416E-02
  0.320000000000E+00  0.124849555442E+00  0.473210215102E-03  0.473210215102E-03  0.378568172081E+00  0.124453657345E+00  0.124453657345E+00  0.791796194256E-03  0.125648898938E+00  0.124079971596E+00  0.125650901110E+00  0.124079971596E+00  0.125648918362E+00  0.125650901110E+00  0.160548875143E-02  0.160548875143E-02  0.316580394879E-02
  0.340000000000E+00  0.124840085138E+00  0.473826924789E-03  0.473826924789E-03  0.379061539832E+00  0.124393662481E+00  0.124393662481E+00  0.892845313829E-03  0.125742526872E+00  0.123975477414E+00  0.125745112781E+00  0.123975477414E+00  0.125742547559E+00  0.125745112781E+00  0.181359345285E-02  0.181359345285E-02  0.356963793619E-02
  0.360000000000E+00  0.124830602093E+00  0.474484305822E-03  0.474484305822E-03  0.379587444657E+00  0.124330713491E+00  0.124330713491E+00  0.999777203510E-03  0.125842410899E+00  0.123866223362E+00  0.125845707615E+00  0.123866223362E+00  0.125842432859E+00  0.125845707615E+00  0.203462207601E-02  0.203462207601E-02  0.399693945076E-02
  0.380000000000E+00  0.124821105492E+00  0.475182572401E-03  0.475182572401E-03  0.380146057921E+00  0.124264829627E+00  0.124264829627E+00  0.111255173027E-02  0.125948553910E+00  0.123752378288E+00  0.125952708476E+00  0.123752378288E+00  0.125948577152E+00  0.125952708476E+00  0.226863453918E-02  0.226863453918E-02  0.444754217405E-02
