                time     magnetic_energy     mhd_enstrophy_j mhd_enstrophy_gradb     mhd_dissipation                Jmax
  0.127000000000E+01  0.224715042943E+01  0.160843853277E+02  0.160753162753E+02  0.643012660686E+00  0.250750040001E+02
  0.128000000000E+01  0.223534154630E+01  0.158129175613E+02  0.158038948642E+02  0.632155804107E+00  0.238446899740E+02
  0.129000000000E+01  0.222334521843E+01  0.155432104723E+02  0.155342591119E+02  0.621370373896E+00  0.229651396290E+02
  0.130000000000E+01  0.221117003491E+01  0.152759699990E+02  0.152671120009E+02  0.610684489343E+00  0.228180607398E+02
  0.131000000000E+01  0.219882404394E+01  0.150118172852E+02  0.150030719930E+02  0.600122888926E+00  0.226901905655E+02
  0.132000000000E+01  0.218631482078E+01  0.147512973617E+02  0.147426817402E+02  0.589707278723E+00  0.225814978816E+02
  0.133000000000E+01  0.217364953783E+01  0.144948884752E+02  0.144864174275E+02  0.579456706133E+00  0.224918892532E+02
  0.134000000000E+01  0.216083503588E+01  0.142430116351E+02  0.142346983196E+02  0.569387941745E+00  0.224212071322E+02
  0.135000000000E+01  0.214787789547E+01  0.139960399580E+02  0.139878960917E+02  0.559515852563E+00  0.223692271945E+02
  0.136000000000E+01  0.213478450783E+01  0.137543074134E+02  0.137463435486E+02  0.549853750781E+00  0.223356549647E+02
  0.137000000000E+01  0.212156114487E+01  0.135181166128E+02  0.135103423769E+02  0.540413703855E+00  0.223201217990E+02
  0.138000000000E+01  0.210821402811E+01  0.132877453398E+02  0.132801696279E+02  0.531206793848E+00  0.223221803163E+02
  0.139000000000E+01  0.209474939635E+01  0.130634515882E+02  0.130560827037E+02  0.522243316831E+00  0.223412993947E+02
  0.140000000000E+01  0.208117357216E+01  0.128454769573E+02  0.128383226957E+02  0.513532916466E+00  0.223768588758E+02
  0.141000000000E+01  0.206749302716E+01  0.126340483464E+02  0.126271160226E+02  0.505084649499E+00  0.224281441442E+02
  0.142000000000E+01  0.205371444600E+01  0.124293779820E+02  0.124226744036E+02  0.496906984699E+00  0.224943407796E+02
  0.143000000000E+01  0.203984478911E+01  0.122316619052E+02  0.122251932982E+02  0.489007740442E+00  0.225745295010E+02
  0.144000000000E+01  0.202589135381E+01  0.120410771312E+02  0.120348490252E+02  0.481393969482E+00  0.226676816478E+02
  0.145000000000E+01  0.201186183365E+01  0.118577777601E+02  0.118517948447E+02  0.474071802223E+00  0.227726554601E+02
  0.146000000000E+01  0.199776437525E+01  0.116818903737E+02  0.116761563365E+02  0.467046261859E+00  0.228881934331E+02
  0.147000000000E+01  0.198360763213E+01  0.115135090784E+02  0.115080264385E+02  0.460321065906E+00  0.230129210283E+02
  0.148000000000E+01  0.196940081480E+01  0.113526905664E+02  0.113474605140E+02  0.453898428898E+00  0.231453470166E+02
  0.149000000000E+01  0.195515373601E+01  0.111994495458E+02  0.111944718001E+02  0.447778880320E+00  0.232838657169E+02
  0.150000000000E+01  0.194087685041E+01  0.110537548569E+02  0.110490275520E+02  0.441961110379E+00  0.234267613671E+02
  0.151000000000E+01  0.192658128748E+01  0.109155265372E+02  0.109110461426E+02  0.436441853991E+00  0.235722148239E+02
  0.152000000000E+01  0.191227887673E+01  0.107846340284E+02  0.107803953109E+02  0.431215820723E+00  0.237183127398E+02
  0.153000000000E+01  0.189798216432E+01  0.106608956509E+02  0.106568916797E+02  0.426275675479E+00  0.238630593000E+02
  0.154000000000E+01  0.188370442020E+01  0.105440793923E+02  0.105403015878E+02  0.421612071814E+00  0.240043905303E+02
  0.155000000000E+01  0.186945963491E+01  0.104339049908E+02  0.104303432153E+02  0.417213736933E+00  0.241401911073E+02
  0.156000000000E+01  0.185526250577E+01  0.103300472309E+02  0.103266899184E+02  0.413067605080E+00  0.242683135118E+02
  0.157000000000E+01  0.184112841179E+01  0.102321403234E+02  0.102289746421E+02  0.409158994058E+00  0.243865992832E+02
  0.158000000000E+01  0.182707337736E+01  0.101397832027E+02  0.101367952451E+02  0.405471818212E+00  0.244929020430E+02
  0.159000000000E+01  0.181311402459E+01  0.100525455543E+02  0.100497205489E+02  0.401988830397E+00  0.245851118784E+02
  0.160000000000E+01  0.179926751466E+01  0.996997437789E+01  0.996729691432E+01  0.398691885053E+00  0.246611806066E+02
  0.161000000000E+01  0.178555147858E+01  0.989160088872E+01  0.988905515171E+01  0.395562214587E+00  0.247191473859E+02
  0.162000000000E+01  0.177198393798E+01  0.981694757197E+01  0.981451757699E+01  0.392580711635E+00  0.247571641026E+02
  0.163000000000E+01  0.175858321673E+01  0.974553521781E+01  0.974320504337E+01  0.389728210325E+00  0.247735199435E+02
  0.164000000000E+01  0.174536784444E+01  0.967688978097E+01  0.967464379252E+01  0.386985760321E+00  0.247666645675E+02
  0.165000000000E+01  0.173235645265E+01  0.961054892559E+01  0.960837198683E+01  0.384334888119E+00  0.247352293148E+02
  0.166000000000E+01  0.171956766525E+01  0.954606813274E+01  0.954394580033E+01  0.381757840677E+00  0.246780459332E+02
  0.167000000000E+01  0.170701998397E+01  0.948302626219E+01  0.948094496060E+01  0.379237807099E+00  0.245941623705E+02
  0.168000000000E+01  0.169473167065E+01  0.942103047502E+01  0.941897764865E+01  0.376759114623E+00  0.244828552542E+02
  0.169000000000E+01  0.168272062725E+01  0.935972043762E+01  0.935768467775E+01  0.374307395780E+00  0.243436387759E+02
  0.170000000000E+01  0.167100427530E+01  0.929877174309E+01  0.929674288784E+01  0.371869724166E+00  0.241762697970E+02
  0.171000000000E+01  0.165959943595E+01  0.923789850353E+01  0.923586770964E+01  0.369434717009E+00  0.239807490939E+02
  0.172000000000E+01  0.164852221205E+01  0.917685508658E+01  0.917481487241E+01  0.366992603478E+00  0.237573187692E+02
  0.173000000000E+01  0.163778787369E+01  0.911543699148E+01  0.911338125158E+01  0.364535258591E+00  0.235064559514E+02
  0.174000000000E+01  0.162741074827E+01  0.905348088387E+01  0.905140487604E+01  0.362056203501E+00  0.232288630010E+02
  0.175000000000E+01  0.161740411669E+01  0.899086383258E+01  0.898876413945E+01  0.359550573955E+00  0.229254545212E+02
  0.176000000000E+01  0.160778011646E+01  0.892750181481E+01  0.892537628238E+01  0.357015059574E+00  0.225973415389E+02
  0.177000000000E+01  0.159854965319E+01  0.886334757697E+01  0.886119523333E+01  0.354447817499E+00  0.222458132771E+02
  0.178000000000E+01  0.158972232116E+01  0.879838795462E+01  0.879620891270E+01  0.351848364543E+00  0.218723169754E+02
  0.179000000000E+01  0.158130633404E+01  0.873264076749E+01  0.873043611560E+01  0.349217452513E+00  0.214784362381E+02
  0.180000000000E+01  0.157330846646E+01  0.866615141111E+01  0.866392309560E+01  0.346556931550E+00  0.210658683952E+02
  0.181000000000E+01  0.156573400697E+01  0.859898926774E+01  0.859673997161E+01  0.343869606411E+00  0.206364013529E+02
  0.182000000000E+01  0.155858672307E+01  0.853124405424E+01  0.852897707565E+01  0.341159090378E+00  0.201918903900E+02
  0.183000000000E+01  0.155186883834E+01  0.846302221535E+01  0.846074134930E+01  0.338429661114E+00  0.197342353221E+02
  0.184000000000E+01  0.154558102210E+01  0.839444345745E+01  0.839215288368E+01  0.335686122265E+00  0.192653584178E+02
  0.185000000000E+01  0.153972239133E+01  0.832563750226E+01  0.832334168156E+01  0.332933673944E+00  0.187871834008E+02
  0.186000000000E+01  0.153429052493E+01  0.825674112211E+01  0.825444470296E+01  0.330177794553E+00  0.183016158194E+02
  0.187000000000E+01  0.152928148981E+01  0.818789550070E+01  0.818560323719E+01  0.327424135665E+00  0.178105250136E+02
  0.188000000000E+01  0.152468987844E+01  0.811924394506E+01  0.811696062690E+01  0.324678430989E+00  0.173157278514E+02
  0.189000000000E+01  0.152050885719E+01  0.805092995850E+01  0.804866035292E+01  0.321946419760E+00  0.168189743543E+02
  0.190000000000E+01  0.151673022488E+01  0.798309566885E+01  0.798084447419E+01  0.319233784338E+00  0.163219352828E+02
  0.191000000000E+01  0.151334448056E+01  0.791588059454E+01  0.791365240463E+01  0.316546101281E+00  0.158261917031E+02
  0.192000000000E+01  0.151034089971E+01  0.784942072059E+01  0.784721999887E+01  0.313888804776E+00  0.153332265160E+02
  0.193000000000E+01  0.150770761797E+01  0.778384784959E+01  0.778167891180E+01  0.311267161021E+00  0.148444178937E+02
  0.194000000000E+01  0.150543172125E+01  0.771928918813E+01  0.771715619207E+01  0.308686251964E+00  0.143610345375E+02
  0.195000000000E+01  0.150349934139E+01  0.765586712712E+01  0.765377406819E+01  0.306150966746E+00  0.138842326451E+02
  0.196000000000E+01  0.150189575625E+01  0.759369917444E+01  0.759164988556E+01  0.303665999184E+00  0.134150544583E+02
  0.197000000000E+01  0.150060549318E+01  0.753289800075E+01  0.753089615539E+01  0.301235849729E+00  0.129544282452E+02
  0.198000000000E+01  0.149961243501E+01  0.747357156273E+01  0.747162067999E+01  0.298864830474E+00  0.125031695648E+02
  0.199000000000E+01  0.149889992761E+01  0.741582327279E+01  0.741392672353E+01  0.296557071986E+00  0.120619836561E+02
  0.200000000000E+01  0.149845088793E+01  0.735975218967E+01  0.735791320301E+01  0.294316530946E+00  0.116314687915E+02
