  0.900000000000E-02  0.124931802307E+00  0.468975018447E-03  0.468975024387E-03  0.375180014757E+00
  0.190000000000E-01  0.124927112579E+00  0.468972083478E-03  0.468972088732E-03  0.375177666782E+00
  0.290000000000E-01  0.124922422833E+00  0.468978927818E-03  0.468978932467E-03  0.375183142254E+00
  0.390000000000E-01  0.124917732968E+00  0.468995550742E-03  0.468995554858E-03  0.375196440594E+00
  0.490000000000E-01  0.124913042889E+00  0.469021952415E-03  0.469021956060E-03  0.375217561932E+00
  0.590000000000E-01  0.124908352496E+00  0.469058133887E-03  0.469058137117E-03  0.375246507110E+00
  0.690000000000E-01  0.124903661693E+00  0.469104097096E-03  0.469104099959E-03  0.375283277676E+00
  0.790000000000E-01  0.124898970382E+00  0.469159844861E-03  0.469159847400E-03  0.375327875888E+00
  0.890000000000E-01  0.124894278464E+00  0.469225380884E-03  0.469225383138E-03  0.375380304708E+00
  0.990000000000E-01  0.124889585841E+00  0.469300709750E-03  0.469300711751E-03  0.375440567800E+00
